Paper Name,Novelty,Simplicity,Generalization,Flexibility/Extensibility,Robustness,Realistic output,Formal description/analysis,Theoretical guarantees,Approximation,Quantitative evidence (e.g. experiments),Qualitative evidence (e.g. examples),Scientific methodology,Controllability (of model owner),Human-like mechanism,Low cost,Large scale,Promising,Generality,Principled,Exactness,Preciseness,Concreteness,Automatic,Performance,Accuracy,Avoiding train/test discrepancy,State-of-the-art,Efficiency,Reduced training time,Memory efficiency,Data efficiency,Label efficiency (reduced need for labeled data),Energy efficiency,Effectiveness,Successful,Building on classic work,Building on recent work,Unifying ideas or integrating components,Identifying limitations,Critique,Understanding (for researchers),Improvement,Progress,Used in practice/Popular,Reproducibility,Easy to implement,Requires few resources,Parallelizability / distributed,Facilitating use (e.g. sharing code),Scales up,Applies to real world,Learning from humans,Practical,Useful,Interpretable (to users),Transparent (to users),Privacy,Fairness,Not socially biased,User influence,Collective influence,Deferral to humans,Critiqability,Beneficence,Non-maleficence,Justice,Respect for Persons,Autonomy (power to decide),Explicability,Respect for Law and public interest,Security,Easy to work with,Realistic world model,Fast
ICML-2023-SinFusion-Training-Diffusion-Models-on-a-Single-Image-or-Video.pdf,0,1,11,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,1,0,0,0,0,1,0,0,1,0,2,0,0,0,1,0,0,2,0,0,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
"ICML-2023-Score-Approximation,-Estimation-and-Distribution-Recovery-of.pdf",0,2,0,1,0,0,2,11,24,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,3,0,2,4,0,0,0,0,0,0,0,0,2,0,0,0,1,0,3,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
ICML-2023-Restoration-Degradation-Beyond-Linear-Diffusions.pdf,0,1,1,0,0,0,6,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,1,0,0,0,0,0,0,1,0,4,0,1,0,1,2,2,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ICML-2023-XTab-Cross-table-Pretraining-for-Tabular-Transformers.pdf,0,1,2,3,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,33,0,0,3,4,3,0,10,0,0,0,0,0,1,0,0,0,1,2,1,2,0,0,0,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
ICML-2023-Transformers-as-Algorithms.pdf,0,0,30,0,0,1,8,7,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,4,2,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ICML-2023-Deep-Graph-Representation-Learning-and-Optimization-for-Influence.pdf,6,4,6,2,0,0,1,4,1,1,2,0,0,0,4,6,0,0,0,0,0,0,3,14,0,0,3,11,1,0,0,0,0,1,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2
ICML-2023-Grounding-Large-Language-Models-in-Interactive-Environments.pdf,0,0,11,0,1,0,3,0,1,0,0,5,0,0,0,0,0,0,0,0,0,11,0,6,0,0,1,11,0,0,0,0,0,0,3,0,4,0,1,0,0,0,1,0,0,0,2,3,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
ICML-2023-Multisample-Flow-Matching-Straightening-Flows-with-Minibatch-Couplings.pdf,0,0,1,1,0,0,4,1,1,1,0,1,0,0,47,0,0,0,0,0,0,0,0,2,1,0,0,8,1,0,0,0,0,0,1,0,2,0,0,0,2,1,0,2,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,11
ICML-2023-One-Transformer-Fits-All-Distributions-in-Multi-Modal-Diffusion-at-Scale.pdf,0,3,0,1,0,0,6,0,0,3,0,0,0,0,3,4,1,6,0,0,1,0,0,3,2,0,0,7,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ICML-2023-Change-is-Hard-A-Closer-Look-at-Subpopulation-Shift.pdf,0,0,13,0,4,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,36,4,12,0,0,0,3,0,0,0,1,0,2,0,1,0,3,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
ICML-2023-MultiDiffusion-Fusing-Diffusion-Paths-for-Controlled-Image-Generation.pdf,1,1,0,2,0,0,3,0,0,2,0,0,0,0,4,0,0,1,2,0,1,0,0,2,0,0,4,2,0,0,0,0,0,0,3,0,1,1,1,0,0,0,2,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ICML-2023-On-Pre-Training-for-Visuo-Motor-Control.pdf,0,0,9,0,15,0,0,0,0,0,0,0,0,0,8,0,1,0,0,0,0,0,0,19,0,2,1,5,0,0,3,0,0,2,0,0,1,0,0,0,1,2,6,3,2,0,0,0,0,0,4,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
ICML-2023-Robust-Speech-Recognition-via-Large-Scale-Weak-Supervision.pdf,0,1,11,0,19,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,40,13,0,3,3,0,0,0,10,0,0,0,1,2,0,0,0,0,8,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ICML-2023-LEVER--Learning-to-Verify-Language-to-Code-Generation-with-Execution.pdf,0,1,1,1,0,0,0,0,0,3,0,0,0,0,2,0,0,0,0,2,0,0,0,27,6,0,7,1,1,0,12,0,0,2,0,0,2,0,1,0,0,5,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ICML-2023-Automatically-Auditing-Large-Language-Models-via-Discrete-Optimization.pdf,1,0,0,1,0,0,3,1,17,7,0,0,0,0,3,0,2,0,0,0,0,0,13,1,0,1,2,7,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3
ICML-2023-SE(3)-diffusion-model-with-application-to-protein-backbone-generation.pdf,25,2,1,2,0,0,4,0,2,1,0,1,0,0,2,0,1,0,5,0,0,0,0,3,2,0,1,6,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
ICML-2023-Efficient-Online-Reinforcement-Learning-with-Offline-Data.pdf,1,1,1,0,1,0,1,0,3,0,0,0,0,0,1,0,1,1,0,0,0,0,0,36,1,2,11,33,1,0,0,0,0,0,0,0,1,0,0,0,0,7,1,3,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
ICML-2023-ESC-Exploration-with-Soft-Commonsense-Constraints.pdf,6,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,3,0,8,2,1,9,3,0,0,0,0,0,3,3,0,1,0,0,0,14,4,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ICML-2023-Protecting-Language-Generation-Models-via-Invisible-Watermarking.pdf,1,0,0,0,4,0,0,1,0,0,1,0,3,0,9,0,1,0,0,0,0,0,0,15,5,0,0,0,0,0,0,0,0,4,3,0,1,0,1,0,0,3,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ICML-2023-LIV-Language-Image-Representations-and-Rewards-for-Robotic-Control.pdf,1,0,4,2,0,0,0,0,0,0,1,0,0,0,8,0,0,0,2,0,0,2,2,8,1,0,0,0,0,0,1,0,0,1,3,0,0,0,0,0,2,1,5,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ICML-2023-In-or-Out?-Fixing-ImageNet-Out-of-Distribution-Detection-Evaluation.pdf,2,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,17,11,0,2,3,0,0,0,0,0,0,0,0,0,0,7,0,1,4,0,3,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
ICML-2023-Scaling-Laws-for-Generative-Mixed-Modal-Language-Models.pdf,0,0,2,0,0,0,1,0,8,1,0,0,0,0,3,0,0,0,0,0,0,0,0,4,1,0,0,1,0,0,0,0,0,0,0,0,3,1,0,0,3,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ICML-2023-Synthetic-Prompting-Generating-Chain-of-Thought-Demonstrations-for-Large.pdf,4,0,1,0,2,0,1,0,0,0,0,0,0,0,9,0,1,0,0,0,0,0,5,14,3,0,5,0,0,0,5,0,0,2,0,0,0,0,0,0,0,1,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ICML-2023-Scaling-Laws-for-Reward-Model-Overoptimization.pdf,0,0,2,0,5,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,8,0,0,1,0,0,1,0,0,0,0,3,0,4,1,0,0,0,0,0,1,0,0,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,4
"ICML-2023-Generating-Novel,-Designable,-and-Diverse-Protein-Structures.pdf",38,1,0,0,0,0,0,1,0,0,0,0,0,0,3,0,3,0,1,0,0,0,0,10,0,0,2,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
ICML-2023-Task-Specific-Skill-Localization-in-Fine-tuned-Language-Models.pdf,1,2,16,2,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,22,8,0,12,0,0,2,0,0,0,1,0,1,5,0,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ICML-2023-Coder-Reviewer-Reranking-for-Code-Generation.pdf,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,0,3,0,0,0,6,0,0,0,1,0,0,0,0,0,3,5,0,7,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ICML-2023-Linear-Causal-Disentanglement-via-Interventions.pdf,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,2,12,0,0,1,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
ICML-2023-ClimaX-A-foundation-model-for-weather-and-climate.pdf,3,0,3,4,0,0,0,0,0,1,0,1,0,0,2,1,0,6,0,0,0,1,0,26,1,0,4,4,0,0,1,0,0,1,1,0,1,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ICML-2023-Exploring-the-Benefits-of-Training-Expert-Language-Models.pdf,6,0,13,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,33,18,0,1,7,1,0,1,0,0,0,0,0,2,10,1,0,0,3,0,0,0,0,2,19,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
ICML-2023-GNOT-A-General-Neural-Operator-Transformer-for-Operator-Learning.pdf,4,0,0,12,0,0,1,0,0,0,0,0,0,0,9,2,0,0,0,0,0,0,0,16,1,0,0,16,0,0,1,0,0,1,0,0,0,0,1,0,0,2,1,2,0,0,0,2,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"ICML-2023-Bigger,-Better,-Faster-Human-level-Atari-with-human-level-efﬁciency.pdf",0,0,2,1,0,1,1,0,0,0,0,0,0,0,7,0,2,0,0,0,0,0,0,59,0,0,2,0,0,0,5,0,0,0,1,0,0,1,0,0,0,7,5,0,0,0,0,1,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5
ICML-2023-NerfDiff-Single-image-View-Synthesis-with-NeRF-guided-Distillation.pdf,20,0,6,0,0,1,0,0,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,6,8,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
ICML-2023-Image-Restoration-with-Mean-Reverting-Stochastic-Differential-Equations.pdf,0,0,0,1,1,0,1,0,0,11,0,0,0,0,2,0,0,0,0,0,1,0,0,21,1,1,4,3,0,0,0,0,0,0,1,0,0,0,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
ICML-2023-Geometric-Latent-Diffusion-Models-for-3D-Molecule-Generation.pdf,5,0,1,0,0,0,6,0,0,1,0,0,0,0,0,0,4,0,3,0,0,0,0,5,0,0,0,0,0,0,0,0,0,1,2,1,0,0,2,0,0,5,5,2,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ICML-2023-Scaling-Up-Dataset-Distillation-to-ImageNet-1K-with-Constant-Memory.pdf,7,1,3,2,0,0,5,0,3,3,0,0,0,0,8,6,0,0,0,0,0,0,0,32,19,0,12,10,0,4,1,0,0,3,0,0,1,0,0,0,0,1,1,1,1,0,0,0,5,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
ICML-2023-Poisoning-Language-Models-During-Instruction-Tuning.pdf,0,1,3,0,1,0,1,0,3,0,2,0,0,0,3,0,1,0,1,0,0,0,2,2,26,0,1,1,2,0,1,0,0,10,4,0,0,0,1,0,0,0,0,1,0,0,0,1,4,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2
ICML-2023-Jump-Start-Reinforcement-Learning.pdf,0,0,2,1,0,0,2,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,16,0,0,1,19,0,0,0,0,0,1,3,0,0,0,3,0,0,4,1,0,0,1,0,0,0,0,2,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
ICML-2023-CHiLS-Zero-Shot-Image-Classification-with-Hierarchical-Label-Sets.pdf,0,0,1,1,2,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,30,27,2,0,2,0,0,1,0,0,2,1,0,1,0,1,0,0,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ICML-2023-A-Theory-of-Continuous-Generative-Flow-Networks.pdf,0,0,1,0,0,0,1,0,3,14,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ICML-2023-Multi-Objective-GFlowNets.pdf,5,0,1,3,0,0,2,2,6,1,0,1,0,0,1,0,1,0,0,0,0,0,0,27,2,0,0,10,0,0,0,0,0,1,2,0,2,1,0,0,0,7,0,1,0,0,1,0,1,0,2,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
ICML-2023-Cross-Entropy-Loss-Functions.pdf,1,0,4,0,14,0,1,25,5,8,0,0,0,0,1,0,0,1,1,0,0,0,0,9,17,0,8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0
ICML-2023-Text-To-4D-Dynamic-Scene-Generation.pdf,2,0,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,13,0,0,5,0,0,0,0,0,2,0,1,1,0,1,0,0,3,1,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
ICML-2023-Are-Diffusion-Models-Vulnerable-to-Membership-Inference-Attacks?.pdf,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,3,0,2,3,0,0,0,0,0,6,0,0,1,0,2,0,0,0,0,4,0,0,0,1,0,0,2,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,2
ICML-2023-Better-Diffusion-Models-Further-Improve-Adversarial-Training.pdf,0,0,5,0,14,0,0,1,0,0,0,0,0,0,2,1,2,0,0,0,0,0,0,26,56,3,13,5,5,0,1,1,0,5,1,0,0,0,1,0,0,10,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2
ICML-2023-Model-Ratatouille.pdf,1,0,41,0,3,0,1,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,9,20,2,7,2,0,0,0,0,0,0,1,0,3,0,1,0,0,0,0,0,1,0,1,1,5,0,0,0,0,2,0,1,5,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
ICML-2023-Large-Language-Models-Can-Be-Easily-Distracted-by-Irrelevant-Context.pdf,0,1,0,0,10,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,30,33,0,5,0,0,0,5,0,0,0,0,0,0,0,1,0,2,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ICML-2023-Unifying-Molecular-and-Textual-Representations-via-Multi-task.pdf,3,0,7,1,0,0,0,1,0,0,0,3,0,0,4,0,0,0,0,0,0,0,0,13,12,0,3,5,0,0,2,0,0,1,2,0,0,9,3,0,2,2,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
